央视频道,#genre#
重庆卫视,http://114.254.80.199:8888/rtp/239.3.1.122:8160
重庆卫视,http://171.213.197.33:4022/udp/239.93.1.107:5140
重庆卫视,http://171.213.203.2:4022/udp/239.93.1.107:5140
重庆卫视,http://171.213.196.239:4022/udp/239.93.1.107:5140
重庆卫视,http://27.46.65.9:17088/udp/239.0.1.91:5097
重庆卫视,http://171.83.144.74:6868/rtp/239.69.1.149:10530
重庆卫视,http://221.234.221.30:4022/rtp/239.69.1.149:10530
重庆卫视,http://27.28.196.115:4022/rtp/239.69.1.149:10530
重庆卫视,http://183.128.146.235:8000/udp/233.50.200.114:5140
重庆卫视,http://125.123.144.144:4022/udp/233.50.200.114:5140
重庆卫视,http://125.119.112.63:8000/udp/233.50.200.114:5140
重庆卫视,http://121.235.33.113:12345/udp/239.49.8.57:9830
重庆卫视,http://114.228.193.151:4022/udp/239.49.8.57:9830
重庆卫视,http://121.226.125.49:7777/udp/239.49.8.57:9830
重庆卫视,http://123.160.172.130:8800/rtp/239.16.20.79:10790
重庆卫视,http://1.193.56.43:8800/rtp/239.16.20.79:10790
重庆卫视,http://121.29.84.237:5000/rtp/239.253.92.10:6053
重庆卫视,http://121.20.207.185:9999/rtp/239.253.92.10:6053
四川卫视,http://171.213.197.33:4022/udp/239.93.0.169:5140
四川卫视,http://171.213.203.2:4022/udp/239.93.0.169:5140
四川卫视,http://171.213.196.239:4022/udp/239.93.0.169:5140
四川卫视,http://27.46.65.9:17088/udp/239.0.1.87:5095
四川卫视,http://171.83.144.74:6868/rtp/239.69.1.169:10650
四川卫视,http://221.234.221.30:4022/rtp/239.69.1.169:10650
四川卫视,http://27.28.196.115:4022/rtp/239.69.1.169:10650
四川卫视,http://183.128.146.235:8000/udp/233.50.201.139:5140
四川卫视,http://125.123.144.144:4022/udp/233.50.201.139:5140
四川卫视,http://125.119.112.63:8000/udp/233.50.201.139:5140
四川卫视,http://123.160.172.130:8800/rtp/239.16.20.86:10860
四川卫视,http://1.193.56.43:8800/rtp/239.16.20.86:10860
四川卫视,http://121.29.84.237:5000/rtp/239.253.92.16:6043
四川卫视,http://121.20.207.185:9999/rtp/239.253.92.16:6043
东南卫视,http://114.254.147.3:23234/rtp/239.3.1.156:8148
东南卫视,http://114.254.32.8:8888/rtp/239.3.1.156:8148
东南卫视,http://114.254.80.199:8888/rtp/239.3.1.156:8148
东南卫视,http://171.213.197.33:4022/udp/239.93.0.42:5140
东南卫视,http://171.213.203.2:4022/udp/239.93.0.42:5140
东南卫视,http://171.213.196.239:4022/udp/239.93.0.42:5140
东南卫视,http://27.46.65.9:17088/udp/239.0.1.241:5109
东南卫视,http://171.83.144.74:6868/rtp/239.69.1.108:10286
东南卫视,http://221.234.221.30:4022/rtp/239.69.1.108:10286
东南卫视,http://27.28.196.115:4022/rtp/239.69.1.108:10286
东南卫视,http://183.128.146.235:8000/udp/233.50.201.146:5140
东南卫视,http://125.123.144.144:4022/udp/233.50.201.146:5140
东南卫视,http://125.119.112.63:8000/udp/233.50.201.146:5140
东南卫视,http://123.160.172.130:8800/rtp/239.16.20.82:10820
东南卫视,http://1.193.56.43:8800/rtp/239.16.20.82:10820
东南卫视,http://121.29.84.237:5000/rtp/239.253.92.201:6146
东南卫视,http://121.20.207.185:9999/rtp/239.253.92.201:6146
深圳卫视,http://114.254.147.3:23234/rtp/239.3.1.134:8020
深圳卫视,http://114.254.32.8:8888/rtp/239.3.1.134:8020
深圳卫视,http://114.254.80.199:8888/rtp/239.3.1.134:8020
深圳卫视,http://171.213.197.33:4022/udp/239.93.0.182:5140
深圳卫视,http://171.213.203.2:4022/udp/239.93.0.182:5140
深圳卫视,http://171.213.196.239:4022/udp/239.93.0.182:5140
深圳卫视,http://27.46.65.9:17088/udp/239.0.1.84:8020
深圳卫视,http://171.83.144.74:6868/rtp/239.254.96.137:8896
深圳卫视,http://221.234.221.30:4022/rtp/239.254.96.137:8896
深圳卫视,http://27.28.196.115:4022/rtp/239.254.96.137:8896
深圳卫视,http://183.128.146.235:8000/udp/233.50.201.101:5140
深圳卫视,http://125.123.144.144:4022/udp/233.50.201.101:5140
深圳卫视,http://125.119.112.63:8000/udp/233.50.201.101:5140
深圳卫视,http://121.235.33.113:12345/udp/239.49.8.15:9430
深圳卫视,http://114.228.193.151:4022/udp/239.49.8.15:9430
深圳卫视,http://121.226.125.49:7777/udp/239.49.8.15:9430
深圳卫视,http://123.160.172.130:8800/rtp/239.16.20.77:10770
