更新时间,#genre#
央视,#genre#:
吉林卫视,http://223.145.224.89:8000/udp/239.76.253.201:9000
四川卫视,http://223.145.224.122:8000/udp/239.76.253.91:9000
四川卫视,http://223.145.224.89:8000/udp/239.76.253.91:9000
四川卫视,http://223.145.224.89:8000/udp/239.76.246.91:1234
四川卫视,http://223.145.224.122:8000/udp/239.76.246.91:1234
四川卫视,http://223.145.224.89:8000/udp/239.76.252.96:9000
天津卫视,http://223.145.224.89:8000/udp/239.76.246.185:1234
天津卫视,http://223.145.224.122:8000/udp/239.76.246.185:1234
天津卫视,http://223.145.224.122:8000/udp/239.76.253.185:9000
天津卫视,http://223.145.224.89:8000/udp/239.76.253.185:9000
天津卫视,http://223.145.224.89:8000/udp/239.76.252.85:9000
宁夏卫视,http://223.145.224.89:8000/udp/239.76.245.107:1234
宁夏卫视,http://223.145.224.122:8000/udp/239.76.245.107:1234
安徽卫视,http://223.145.224.89:8000/udp/239.76.252.196:9000
安徽卫视,http://223.145.224.122:8000/udp/239.76.252.196:9000
安徽卫视,http://223.145.224.122:8000/udp/239.76.245.196:1234
安徽卫视,http://223.145.224.89:8000/udp/239.76.252.83:9000
安徽卫视,http://223.145.224.89:8000/udp/239.76.245.196:1234
山东卫视,http://223.145.224.122:8000/udp/239.76.253.195:9000
山东卫视,http://223.145.224.122:8000/udp/239.76.246.195:1234
山东卫视,http://223.145.224.89:8000/udp/239.76.246.195:1234
山东卫视,http://223.145.224.89:8000/udp/239.76.253.195:9000
山东卫视,http://223.145.224.122:8000/udp/239.76.252.95:9000
山东卫视,http://223.145.224.89:8000/udp/239.76.252.95:9000
山东教育卫视,http://223.145.224.89:8000/udp/239.76.245.191:1234
山东教育卫视,http://223.145.224.122:8000/udp/239.76.245.191:1234
山西卫视,http://223.145.224.122:8000/udp/239.76.245.105:1234
山西卫视,http://223.145.224.89:8000/udp/239.76.245.105:1234
广东卫视,http://223.145.224.122:8000/udp/239.76.245.189:1234
广东卫视,http://223.145.224.122:8000/udp/239.76.252.92:9000
广东卫视,http://223.145.224.89:8000/udp/239.76.252.189:9000
广东卫视,http://223.145.224.122:8000/udp/239.76.252.189:9000
广东卫视,http://223.145.224.89:8000/udp/239.76.245.189:1234
广西卫视,http://223.145.224.122:8000/udp/239.76.254.54:9000
广西卫视,http://223.145.224.122:8000/udp/239.76.252.94:9000
广西卫视,http://223.145.224.89:8000/udp/239.76.252.94:9000
康巴卫视,http://223.145.224.122:8000/udp/239.76.246.89:1234
康巴卫视,http://223.145.224.89:8000/udp/239.76.246.89:1234
延边卫视,http://223.145.224.89:8000/udp/239.76.254.112:9000
延边卫视,http://223.145.224.122:8000/udp/239.76.254.112:9000
新疆卫视,http://223.145.224.89:8000/udp/239.76.245.109:1234
新疆卫视,http://223.145.224.122:8000/udp/239.76.245.109:1234
江苏卫视,http://223.145.224.89:8000/udp/239.76.253.181:9000
江苏卫视,http://223.145.224.89:8000/udp/239.76.246.181:1234
江苏卫视,http://223.145.224.89:8000/udp/239.76.252.81:9000
江苏卫视,http://223.145.224.122:8000/udp/239.76.252.81:9000
江西卫视,http://223.145.224.89:8000/udp/239.76.245.225:1234
江西卫视,http://223.145.224.89:8000/udp/239.76.252.87:9000
江西卫视,http://223.145.224.122:8000/udp/239.76.252.87:9000
江西卫视,http://223.145.224.122:8000/udp/239.76.245.225:1234
河北卫视,http://223.145.224.122:8000/udp/239.76.252.102:9000
河北卫视,http://223.145.224.89:8000/udp/239.76.252.199:9000
河北卫视,http://223.145.224.89:8000/udp/239.76.245.199:1234
河北卫视,http://223.145.224.122:8000/udp/239.76.252.199:9000
河北卫视,http://223.145.224.122:8000/udp/239.76.245.199:1234
河南卫视,http://223.145.224.122:8000/udp/239.76.253.202:9000
河南卫视,http://223.145.224.122:8000/udp/239.76.252.99:9000
河南卫视,http://223.145.224.89:8000/udp/239.76.253.202:9000
河南卫视,http://223.145.224.122:8000/udp/239.76.246.202:1234
河南卫视,http://223.145.224.89:8000/udp/239.76.252.99:9000
浙江卫视,http://223.145.224.89:8000/udp/239.76.253.182:9000
浙江卫视,http://223.145.224.89:8000/udp/239.76.252.82:9000
浙江卫视,http://223.145.224.89:8000/udp/239.76.246.182:1234
浙江卫视,http://223.145.224.122:8000/udp/239.76.253.182:9000
海南卫视,http://223.145.224.122:8000/udp/239.76.253.203:9000
海南卫视,http://223.145.224.89:8000/udp/239.76.252.91:9000
海南卫视,http://223.145.224.89:8000/udp/239.76.253.203:9000
海南卫视,http://223.145.224.122:8000/udp/239.76.246.203:1234
海南卫视,http://223.145.224.89:8000/udp/239.76.246.203:1234
深圳卫视,http://223.145.224.122:8000/udp/239.76.253.188:9000
深圳卫视,http://223.145.224.122:8000/udp/239.76.246.188:1234
深圳卫视,http://223.145.224.89:8000/udp/239.76.246.188:1234
深圳卫视,http://223.145.224.89:8000/udp/239.76.252.88:9000
深圳卫视,http://223.145.224.89:8000/udp/239.76.253.188:9000
深圳卫视,http://223.145.224.122:8000/udp/239.76.252.88:9000
湖北卫视,http://223.145.224.122:8000/udp/239.76.253.193:9000
湖北卫视,http://223.145.224.122:8000/udp/239.76.252.93:9000
湖北卫视,http://223.145.224.89:8000/udp/239.76.246.193:1234
湖北卫视,http://223.145.224.122:8000/udp/239.76.246.193:1234
湖北卫视,http://223.145.224.89:8000/udp/239.76.253.193:9000
湖北卫视,http://223.145.224.89:8000/udp/239.76.252.93:9000
湖南卫视,http://223.145.224.122:8000/udp/239.76.253.101:9000
湖南卫视,http://223.145.224.89:8000/udp/239.76.252.115:9000
湖南卫视,http://223.145.224.89:8000/udp/239.76.246.100:1234
湖南卫视,http://223.145.224.122:8000/udp/239.76.253.100:9000
湖南卫视,http://223.145.224.89:8000/udp/239.76.252.1:9000
湖南卫视,http://223.145.224.122:8000/udp/239.76.252.1:9000
湖南卫视,http://223.145.224.122:8000/udp/239.76.252.115:9000
湖南卫视,http://223.145.224.89:8000/udp/239.76.253.100:9000
湖南卫视,http://223.145.224.89:8000/udp/239.76.245.115:1234
甘肃卫视,http://223.145.224.89:8000/udp/239.76.253.94:9000
甘肃卫视,http://223.145.224.122:8000/udp/239.76.245.110:1234
甘肃卫视,http://223.145.224.89:8000/udp/239.76.246.94:1234
甘肃卫视,http://223.145.224.122:8000/udp/239.76.253.94:9000
甘肃卫视,http://223.145.224.89:8000/udp/239.76.245.110:1234
甘肃卫视,http://223.145.224.122:8000/udp/239.76.246.94:1234
西藏卫视,http://223.145.224.89:8000/udp/239.76.245.108:1234
西藏卫视,http://223.145.224.122:8000/udp/239.76.245.108:1234
贵州卫视,http://223.145.224.89:8000/udp/239.76.245.198:1234
贵州卫视,http://223.145.224.122:8000/udp/239.76.252.101:9000
贵州卫视,http://223.145.224.89:8000/udp/239.76.252.198:9000
贵州卫视,http://223.145.224.89:8000/udp/239.76.252.101:9000
贵州卫视,http://223.145.224.122:8000/udp/239.76.245.198:1234
辽宁卫视,http://223.145.224.122:8000/udp/239.76.245.197:1234
辽宁卫视,http://223.145.224.89:8000/udp/239.76.252.89:9000
辽宁卫视,http://223.145.224.122:8000/udp/239.76.252.89:9000
辽宁卫视,http://223.145.224.89:8000/udp/239.76.252.197:9000
辽宁卫视,http://223.145.224.89:8000/udp/239.76.245.197:1234
辽宁卫视,http://223.145.224.122:8000/udp/239.76.252.197:9000
重庆卫视,http://223.145.224.122:8000/udp/239.76.253.92:9000
重庆卫视,http://223.145.224.89:8000/udp/239.76.252.97:9000
重庆卫视,http://223.145.224.89:8000/udp/239.76.246.92:1234
重庆卫视,http://223.145.224.122:8000/udp/239.76.252.97:9000
重庆卫视,http://223.145.224.122:8000/udp/239.76.246.92:1234
重庆卫视,http://223.145.224.89:8000/udp/239.76.253.92:9000
陕西卫视,http://223.145.224.122:8000/udp/239.76.254.76:9000
陕西卫视,http://223.145.224.89:8000/udp/239.76.254.76:9000
陕西卫视,http://223.145.224.89:8000/udp/239.76.252.104:9000
陕西卫视,http://223.145.224.122:8000/udp/239.76.252.104:9000
青海卫视,http://223.145.224.89:8000/udp/239.76.254.132:9000
青海卫视,http://223.145.224.122:8000/udp/239.76.254.132:9000
黑龙江卫视,http://223.145.224.89:8000/udp/239.76.252.100:9000
黑龙江卫视,http://223.145.224.122:8000/udp/239.76.252.100:9000
黑龙江卫视,http://223.145.224.122:8000/udp/239.76.253.200:9000
黑龙江卫视,http://223.145.224.89:8000/udp/239.76.246.200:1234
黑龙江卫视,http://223.145.224.122:8000/udp/239.76.246.200:1234
黑龙江卫视,http://223.145.224.89:8000/udp/239.76.253.200:9000
湖南,#genre#:
东安综合,http://223.145.224.122:8000/udp/239.76.255.32:9000
东安综合,http://223.145.224.89:8000/udp/239.76.255.32:9000
中方综合,http://223.145.224.122:8000/udp/239.76.255.36:9000
中方综合,http://223.145.224.89:8000/udp/239.76.255.36:9000
会同综合,http://223.145.224.89:8000/udp/239.76.255.42:9000
会同综合,http://223.145.224.122:8000/udp/239.76.255.42:9000
双牌综合,http://223.145.224.122:8000/udp/239.76.255.33:9000
双牌综合,http://223.145.224.89:8000/udp/239.76.255.33:9000
城步综合,http://223.145.224.122:8000/udp/239.76.255.45:9000
城步综合,http://223.145.224.89:8000/udp/239.76.255.45:9000
娄底公共,http://223.145.224.89:8000/udp/239.76.255.19:9000
娄底公共,http://223.145.224.122:8000/udp/239.76.255.19:9000
娄底公共,http://223.145.224.89:8000/udp/239.76.248.19:1234
娄底公共,http://223.145.224.122:8000/udp/239.76.248.19:1234
娄底教育,http://223.145.224.89:8000/udp/239.76.255.20:9000
娄底教育,http://223.145.224.122:8000/udp/239.76.255.20:9000
娄底教育,http://223.145.224.89:8000/udp/239.76.248.20:1234
娄底教育,http://223.145.224.122:8000/udp/239.76.248.20:1234
娄底综合,http://223.145.224.122:8000/udp/239.76.255.18:9000
娄底综合,http://223.145.224.89:8000/udp/239.76.248.18:1234
娄底综合,http://223.145.224.89:8000/udp/239.76.255.18:9000
娄底综合,http://223.145.224.122:8000/udp/239.76.248.18:1234
宁乡综合,http://223.145.224.122:8000/udp/239.76.248.57:1234
宁乡综合,http://223.145.224.89:8000/udp/239.76.248.57:1234
宁远综合,http://223.145.224.122:8000/udp/239.76.255.34:9000
宁远综合,http://223.145.224.89:8000/udp/239.76.255.34:9000
岳阳公共,http://223.145.224.89:8000/udp/239.76.248.8:1234
岳阳公共,http://223.145.224.122:8000/udp/239.76.248.8:1234
岳阳新闻综合,http://223.145.224.89:8000/udp/239.76.248.7:1234
岳阳新闻综合,http://223.145.224.122:8000/udp/239.76.248.7:1234
岳麓综合,http://223.145.224.122:8000/udp/239.76.255.47:9000
常德公共,http://223.145.224.122:8000/udp/239.76.248.11:1234
常德公共,http://223.145.224.89:8000/udp/239.76.248.11:1234
常德新闻综合,http://223.145.224.89:8000/udp/239.76.248.10:1234
常德新闻综合,http://223.145.224.122:8000/udp/239.76.248.10:1234
张家界,http://223.145.224.89:8000/udp/239.76.252.235:9000
张家界,http://223.145.224.122:8000/udp/239.76.245.235:1234
张家界,http://223.145.224.89:8000/udp/239.76.245.235:1234
张家界公共,http://223.145.224.122:8000/udp/239.76.252.235:9000
张家界综合,http://223.145.224.122:8000/udp/239.76.252.234:9000
张家界综合,http://223.145.224.89:8000/udp/239.76.252.234:9000
张家界综合,http://223.145.224.122:8000/udp/239.76.245.234:1234
怀化新闻综合,http://223.145.224.122:8000/udp/239.76.248.12:1234
怀化新闻综合,http://223.145.224.89:8000/udp/239.76.248.12:1234
怀化综合,http://223.145.224.122:8000/udp/239.76.255.12:9000
怀化综合,http://223.145.224.89:8000/udp/239.76.255.12:9000
新化新闻综合,http://223.145.224.122:8000/udp/239.76.248.31:1234
新化新闻综合,http://223.145.224.89:8000/udp/239.76.248.31:1234
新田电视台,http://223.145.224.122:8000/udp/239.76.248.44:1234
新田电视台,http://223.145.224.89:8000/udp/239.76.248.44:1234
新田综合,http://223.145.224.122:8000/udp/239.76.255.30:9000
新田综合,http://223.145.224.89:8000/udp/239.76.255.30:9000
株洲新闻综合,http://223.145.224.89:8000/udp/239.76.248.1:1234
株洲新闻综合,http://223.145.224.122:8000/udp/239.76.248.1:1234
桂东综合,http://223.145.224.122:8000/udp/239.76.246.231:1234
桃源综合,http://223.145.224.122:8000/udp/239.76.248.36:1234
桃源综合,http://223.145.224.89:8000/udp/239.76.248.36:1234
武冈综合,http://223.145.224.89:8000/udp/239.76.255.46:9000
武冈综合,http://223.145.224.89:8000/udp/239.76.248.29:1234
武冈综合,http://223.145.224.122:8000/udp/239.76.255.46:9000
永州公共,http://223.145.224.122:8000/udp/239.76.255.24:9000
永州公共,http://223.145.224.89:8000/udp/239.76.255.24:9000
永州公共,http://223.145.224.122:8000/udp/239.76.248.24:1234
永州新闻,http://223.145.224.122:8000/udp/239.76.255.23:9000
永州新闻,http://223.145.224.89:8000/udp/239.76.255.23:9000
永州新闻,http://223.145.224.122:8000/udp/239.76.248.23:1234
永州新闻,http://223.145.224.89:8000/udp/239.76.248.23:1234
江华综合,http://223.145.224.89:8000/udp/239.76.255.29:9000
江华综合,http://223.145.224.122:8000/udp/239.76.255.29:9000
江永综合,http://223.145.224.122:8000/udp/239.76.255.35:9000
汨罗综合,http://223.145.224.89:8000/udp/239.76.255.47:9000
津市新闻,http://223.145.224.89:8000/udp/239.76.248.30:1234
津市新闻,http://223.145.224.122:8000/udp/239.76.248.30:1234
洪江综合,http://223.145.224.122:8000/udp/239.76.255.37:9000
洪江综合,http://223.145.224.89:8000/udp/239.76.255.37:9000
浏阳新闻,http://223.145.224.122:8000/udp/239.76.248.6:1234
浏阳新闻,http://223.145.224.89:8000/udp/239.76.248.6:1234
浏阳新闻,http://223.145.224.122:8000/udp/239.76.255.6:9000
